,year,month,Very Good,Good,Bad,Very Bad,Hard to answer,Negative,Positive,Neutral,NegPercentage,PosPercentage,NeuPercentage
2,2013,9,7.0,62.0,20.0,3.0,8.0,4.0,11.0,16.0,0.12903225806451613,0.3548387096774194,0.5161290322580645
3,2014,3,6.0,46.0,28.0,9.0,11.0,96.0,119.0,411.0,0.15335463258785942,0.1900958466453674,0.6565495207667732
4,2014,5,5.0,30.0,33.0,16.0,17.0,85.0,72.0,172.0,0.25835866261398177,0.2188449848024316,0.5227963525835866
5,2014,9,3.0,29.0,39.0,16.0,13.0,51.0,35.0,139.0,0.22666666666666666,0.15555555555555556,0.6177777777777778
6,2014,11,3.0,25.0,40.0,19.0,12.0,37.0,45.0,167.0,0.14859437751004015,0.18072289156626506,0.6706827309236948
7,2015,3,3.0,28.0,34.0,21.0,13.0,45.0,32.0,170.0,0.18218623481781376,0.12955465587044535,0.6882591093117408
8,2015,5,3.0,23.0,36.0,23.0,14.0,70.0,34.0,144.0,0.28225806451612906,0.13709677419354838,0.5806451612903226
9,2015,9,4.0,29.0,36.0,20.0,11.0,56.0,38.0,169.0,0.21292775665399238,0.1444866920152091,0.6425855513307985
10,2015,11,2.0,25.0,42.0,21.0,10.0,36.0,12.0,84.0,0.2727272727272727,0.09090909090909091,0.6363636363636364
11,2016,1,2.0,26.0,37.0,22.0,14.0,16.0,12.0,72.0,0.16,0.12,0.72
12,2016,3,2.0,23.0,42.0,22.0,11.0,49.0,19.0,86.0,0.3181818181818182,0.12337662337662338,0.5584415584415584
13,2016,5,3.0,29.5,41.0,14.0,12.5,24.0,21.0,74.0,0.20168067226890757,0.17647058823529413,0.6218487394957983
14,2016,7,4.0,37.0,33.0,11.0,16.0,32.0,16.0,70.0,0.2711864406779661,0.13559322033898305,0.5932203389830508
15,2016,8,2.0,29.0,36.0,22.0,11.0,36.0,17.0,91.0,0.25,0.11805555555555555,0.6319444444444444
16,2016,9,2.0,24.0,38.0,18.0,17.0,17.0,11.0,66.0,0.18085106382978725,0.11702127659574468,0.7021276595744681
17,2016,11,3.0,30.0,35.0,16.0,16.0,29.0,18.0,70.0,0.24786324786324787,0.15384615384615385,0.5982905982905983
18,2017,1,2.0,31.0,39.0,15.0,13.0,18.0,6.0,58.0,0.21951219512195122,0.07317073170731707,0.7073170731707317
19,2017,3,3.0,31.0,36.0,20.0,11.0,53.0,26.0,129.0,0.2548076923076923,0.125,0.6201923076923077
20,2017,5,2.0,24.0,39.0,20.0,15.0,44.0,33.0,106.0,0.24043715846994534,0.18032786885245902,0.5792349726775956
21,2017,9,3.0,29.0,33.0,20.0,15.0,75.0,25.0,115.0,0.3488372093023256,0.11627906976744186,0.5348837209302325
22,2017,12,2.0,26.0,39.0,17.0,17.0,49.0,14.0,101.0,0.29878048780487804,0.08536585365853659,0.6158536585365854
23,2018,1,3.0,32.0,34.0,13.0,18.0,30.0,14.0,62.0,0.2830188679245283,0.1320754716981132,0.5849056603773585
24,2018,3,2.0,31.0,35.0,20.0,12.0,43.0,16.0,127.0,0.23118279569892472,0.08602150537634409,0.6827956989247311
25,2018,7,4.0,33.0,29.0,20.0,15.0,31.0,29.0,87.0,0.2108843537414966,0.19727891156462585,0.5918367346938775
26,2018,9,3.0,30.0,32.0,23.0,12.0,29.0,19.0,82.0,0.2230769230769231,0.14615384615384616,0.6307692307692307
27,2018,11,3.0,25.0,31.0,29.0,11.0,60.0,22.0,125.0,0.2898550724637681,0.10628019323671498,0.6038647342995169
28,2019,2,4.0,30.0,30.0,25.0,10.0,33.0,18.0,95.0,0.22602739726027396,0.1232876712328767,0.6506849315068494
29,2019,9,9.0,47.0,19.0,12.0,13.0,48.0,61.0,170.0,0.17204301075268819,0.21863799283154123,0.6093189964157706
30,2020,1,6.0,36.0,27.0,20.0,11.0,34.0,29.0,83.0,0.2328767123287671,0.19863013698630136,0.5684931506849316
